fecha_diagnostico,residencia_provincia_nombre,lat,lng,Casos
2020-03-03,CABA,-34.58591,-58.38171,1
2020-03-06,Buenos Aires,-36.15722,-60.56972,1
2020-03-06,CABA,-34.58591,-58.38171,4
2020-03-06,Córdoba,-32,-64,1
2020-03-07,CABA,-34.58591,-58.38171,1
2020-03-08,CABA,-34.58591,-58.38171,2
2020-03-09,Buenos Aires,-36.15722,-60.56972,1
2020-03-09,CABA,-34.58591,-58.38171,1
2020-03-09,Chaco,-27.45138,-58.98666,2
2020-03-09,Río Negro,-40.8,-63,1
2020-03-09,San Luis,-33.3,-66.35,1
2020-03-10,Buenos Aires,-36.15722,-60.56972,1
2020-03-10,CABA,-34.58591,-58.38171,1
2020-03-11,Buenos Aires,-36.15722,-60.56972,1
2020-03-11,CABA,-34.58591,-58.38171,2
2020-03-11,Entre Ríos,-32.04777,-60.2811,1
2020-03-12,Buenos Aires,-36.15722,-60.56972,5
2020-03-12,CABA,-34.58591,-58.38171,1
2020-03-12,Chaco,-27.45138,-58.98666,2
2020-03-12,Córdoba,-32,-64,2
2020-03-13,Buenos Aires,-36.15722,-60.56972,1
2020-03-13,CABA,-34.58591,-58.38171,3
2020-03-13,Chaco,-27.45138,-58.98666,1
2020-03-13,Santa Fe,-33.72277,-62.24611,1
2020-03-14,Buenos Aires,-36.15722,-60.56972,2
2020-03-14,CABA,-34.58591,-58.38171,5
2020-03-15,CABA,-34.58591,-58.38171,7
2020-03-15,Chaco,-27.45138,-58.98666,2
2020-03-15,Tierra del Fuego,-54.36194,-67.63805,2
2020-03-16,Buenos Aires,-36.15722,-60.56972,3
2020-03-16,CABA,-34.58591,-58.38171,3
2020-03-16,Chaco,-27.45138,-58.98666,4
2020-03-17,Buenos Aires,-36.15722,-60.56972,3
2020-03-17,CABA,-34.58591,-58.38171,6
2020-03-17,Chaco,-27.45138,-58.98666,1
2020-03-17,Córdoba,-32,-64,2
2020-03-17,Entre Ríos,-32.04777,-60.2811,2
2020-03-17,Jujuy,-23.75,-65.5,1
2020-03-17,Río Negro,-40.8,-63,1
2020-03-17,Salta,-24.78333,-65.41666,1
2020-03-17,Santa Cruz,-48.8238,-69.815,1
2020-03-18,Buenos Aires,-36.15722,-60.56972,10
2020-03-18,CABA,-34.58591,-58.38171,17
2020-03-18,Chaco,-27.45138,-58.98666,1
2020-03-18,Tucumán,-27,-65.5,1
2020-03-19,Buenos Aires,-36.15722,-60.56972,11
2020-03-19,CABA,-34.58591,-58.38171,3
2020-03-19,Chaco,-27.45138,-58.98666,2
2020-03-19,Córdoba,-32,-64,3
2020-03-19,Neuquén,-38.95166,-68.07444,1
2020-03-19,Río Negro,-40.8,-63,1
2020-03-19,Santa Fe,-33.72277,-62.24611,1
2020-03-20,Buenos Aires,-36.15722,-60.56972,8
2020-03-20,CABA,-34.58591,-58.38171,10
2020-03-20,Chaco,-27.45138,-58.98666,1
2020-03-20,Córdoba,-32,-64,4
2020-03-20,Corrientes,-28.6666,-57.6333,1
