fecha_fallecimiento,residencia_provincia_nombre,lat,lng,Casos
2020-03-07,CABA,-34.58591,-58.38171,1
2020-03-13,Chaco,-27.45138,-58.98666,1
2020-03-18,CABA,-34.58591,-58.38171,1
2020-03-21,Buenos Aires,-36.15722,-60.56972,1
2020-03-24,Buenos Aires,-36.15722,-60.56972,2
2020-03-24,Chaco,-27.45138,-58.98666,1
2020-03-25,CABA,-34.58591,-58.38171,2
2020-03-25,Chaco,-27.45138,-58.98666,2
2020-03-26,Buenos Aires,-36.15722,-60.56972,3
2020-03-26,Río Negro,-40.8,-63,1
2020-03-27,CABA,-34.58591,-58.38171,1
2020-03-27,Mendoza,-32.89027,-68.84722,1
2020-03-28,Buenos Aires,-36.15722,-60.56972,1
2020-03-28,CABA,-34.58591,-58.38171,1
2020-03-29,Buenos Aires,-36.15722,-60.56972,1
2020-03-29,Córdoba,-32,-64,1
2020-03-29,Tucumán,-27,-65.5,1
2020-03-30,Buenos Aires,-36.15722,-60.56972,1
2020-03-30,Neuquén,-38.95166,-68.07444,1
2020-03-30,Tucumán,-27,-65.5,1
2020-03-31,Chaco,-27.45138,-58.98666,1
2020-03-31,La Rioja,-29.1,-66.85,1
2020-03-31,Neuquén,-38.95166,-68.07444,1
2020-04-01,Buenos Aires,-36.15722,-60.56972,2
2020-04-01,CABA,-34.58591,-58.38171,1
2020-04-01,Chaco,-27.45138,-58.98666,1
2020-04-01,Mendoza,-32.89027,-68.84722,1
2020-04-01,Santa Fe,-33.72277,-62.24611,1
2020-04-01,Tucumán,-27,-65.5,1
2020-04-02,Buenos Aires,-36.15722,-60.56972,3
2020-04-02,Chaco,-27.45138,-58.98666,1
2020-04-02,Mendoza,-32.89027,-68.84722,1
2020-04-03,Buenos Aires,-36.15722,-60.56972,3
2020-04-04,Buenos Aires,-36.15722,-60.56972,1
2020-04-04,CABA,-34.58591,-58.38171,2
2020-04-05,Buenos Aires,-36.15722,-60.56972,5
2020-04-05,CABA,-34.58591,-58.38171,3
2020-04-05,Córdoba,-32,-64,1
2020-04-06,Buenos Aires,-36.15722,-60.56972,3
2020-04-06,CABA,-34.58591,-58.38171,3
2020-04-06,Neuquén,-38.95166,-68.07444,1
2020-04-07,Buenos Aires,-36.15722,-60.56972,4
2020-04-07,CABA,-34.58591,-58.38171,1
2020-04-07,Mendoza,-32.89027,-68.84722,1
2020-04-08,Buenos Aires,-36.15722,-60.56972,5
2020-04-08,CABA,-34.58591,-58.38171,3
2020-04-08,Chaco,-27.45138,-58.98666,1
2020-04-08,Neuquén,-38.95166,-68.07444,1
